Tue Mar  3 15:57:13 2026    profile.out

         3642297 function calls (3506319 primitive calls) in 66.492 seconds

   Ordered by: cumulative time
   List reduced from 11965 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.954    1.954 /Users/ihor/Workspace/skills2/esco_pipeline/mappers/llm_mapper.py:126(_prefetch_candidates)
        1    0.003    0.003    1.653    1.653 /Users/ihor/Workspace/skills2/esco_pipeline/enrichment.py:11(enrich)
     8168    0.003    0.000    1.650    0.000 {built-in method builtins.max}
     3752    0.001    0.000    1.645    0.000 /Users/ihor/Workspace/skills2/esco_pipeline/enrichment.py:35(<genexpr>)
     1917    0.044    0.000    1.643    0.001 /Users/ihor/Workspace/skills2/esco_pipeline/esco_interface.py:375(compute_embedding_similarity)
        1    0.000    0.000    1.605    1.605 /Users/ihor/Workspace/skills2/esco_pipeline/esco_interface.py:1(<module>)
     1917    0.003    0.000    1.598    0.001 /Users/ihor/Workspace/skills2/esco_pipeline/esco_interface.py:394(_get_query_embedding)
        1    0.000    0.000    1.484    1.484 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/google/genai/__init__.py:1(<module>)
     1945    0.003    0.000    1.475    0.001 /Users/ihor/Workspace/skills2/esco_pipeline/utils.py:28(get)
     1945    0.004    0.000    1.388    0.001 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/__init__.py:278(load)
     1965    0.002    0.000    1.337    0.001 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/__init__.py:304(loads)
     1965    0.003    0.000    1.335    0.001 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:340(decode)
     1965    1.330    0.001    1.330    0.001 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:351(raw_decode)
        1    0.000    0.000    0.859    0.859 /Users/ihor/Workspace/skills2/esco_pipeline/loader.py:1(<module>)




=== TOP BY TOTTIME ===

Tue Mar  3 15:57:13 2026    profile.out

         3642297 function calls (3506319 primitive calls) in 66.492 seconds

   Ordered by: internal time
   List reduced from 11965 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   161/67   54.480    0.338    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       18    5.778    0.321    5.778    0.321 {method 'read' of '_ssl._SSLSocket' objects}
     1965    1.330    0.001    1.330    0.001 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/json/decoder.py:351(raw_decode)
  135/132    0.766    0.006    0.768    0.006 {built-in method _imp.create_dynamic}
     2921    0.389    0.000    0.389    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.252    0.126    0.257    0.129 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/datasets/table.py:62(_memory_mapped_arrow_table_from_file)
        4    0.223    0.056    0.223    0.056 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.187    0.187    0.192    0.192 /Users/ihor/Workspace/skills2/esco_pipeline/mappers/fuzzy_mapper.py:18(map_skills)
        4    0.186    0.046    0.186    0.046 {method 'connect' of '_socket.socket' objects}
        4    0.158    0.039    0.158    0.039 {built-in method _socket.getaddrinfo}
     1947    0.135    0.000    0.135    0.000 {built-in method numpy.array}
45861/45718    0.118    0.000    0.836    0.000 {built-in method builtins.next}
     1573    0.113    0.000    0.113    0.000 {built-in method marshal.loads}
  135/101    0.086    0.001    0.219    0.002 {built-in method _imp.exec_dynamic}
        1    0.059    0.059    0.108    0.108 /Users/ihor/Workspace/skills2/esco_pipeline/esco_interface.py:438(batch_search_by_embedding)
    35422    0.056    0.000    0.189    0.000 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/csv.py:173(__next__)
   1838/1    0.055    0.000   62.410   62.410 {built-in method builtins.exec}
     1575    0.054    0.000    0.054    0.000 {built-in method _io.open_code}
75232/393    0.049    0.000    0.068    0.000 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/pydantic/_internal/_schema_gather.py:90(traverse_schema)
453038/452798    0.048    0.000    0.051    0.000 {built-in method builtins.isinstance}
        3    0.047    0.016    0.202    0.067 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/numpy/lib/_format_impl.py:780(read_array)
     2188    0.046    0.000    0.049    0.000 {built-in method _io.open}
     1917    0.044    0.000    1.643    0.001 /Users/ihor/Workspace/skills2/esco_pipeline/esco_interface.py:375(compute_embedding_similarity)
     2006    0.044    0.000    0.057    0.000 {method 'read' of '_io.TextIOWrapper' objects}
5218/5134    0.043    0.000    0.793    0.000 {built-in method builtins.__build_class__}
      250    0.036    0.000    0.036    0.000 {built-in method posix.listdir}
 1634/435    0.036    0.000    0.074    0.000 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_parser.py:512(_parse)
     9490    0.034    0.000    0.053    0.000 {built-in method posix.stat}
        7    0.029    0.004    0.029    0.004 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
   248763    0.027    0.000    0.027    0.000 {method 'get' of 'dict' objects}
        1    0.026    0.026    0.159    0.159 /Users/ihor/Workspace/skills2/esco_pipeline/esco_interface.py:153(_load_skills)
      2/1    0.026    0.013   61.500   61.500 scripts/run_pipeline.py:1(<module>)
17107/16258    0.026    0.000    0.038    0.000 {built-in method __new__ of type object at 0x103cd4908}
127007/126953    0.025    0.000    0.027    0.000 {built-in method builtins.getattr}
     3166    0.025    0.000    0.044    0.000 /Users/ihor/Workspace/skills2/.venv/lib/python3.14/site-packages/pydantic/fields.py:228(__init__)
       25    0.020    0.001    0.020    0.001 {method 'argsort' of 'numpy.ndarray' objects}
     3784    0.019    0.000    0.019    0.000 {built-in method _codecs.utf_8_decode}
     1573    0.018    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
  888/884    0.018    0.000    0.032    0.000 /opt/homebrew/Cellar/python@3.14/3.14.3_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/annotationlib.py:697(call_annotate_function)
   144034    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}


